                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.0441,                 1.2685,                 1.4346,                0.47244,                0.16667,                 0.1728,                0.06798,                 3.0311,                 3.8095,                 2.5797,              0.0015465,              0.0015465,              0.0015465
                     75,                0.97287,                 1.1786,                 1.4547,                0.36638,                    0.5,                0.28118,                0.04746,                 3.2229,                 3.5511,                 2.8276,              0.0015449,              0.0015449,              0.0015449
                     76,                 1.0272,                 1.2423,                 1.5148,                0.23347,                0.33333,                0.27867,                0.06308,                 3.0875,                 4.5869,                 2.5176,              0.0015432,              0.0015432,              0.0015432
                     77,                 1.0906,                 1.2651,                 1.5023,                0.23347,                0.33333,                0.27867,                0.06308,                 3.0875,                 4.5869,                 2.5176,              0.0015416,              0.0015416,              0.0015416
                     78,                 1.0709,                  1.205,                 1.4176,                 0.4844,                0.33333,                0.36674,                0.17362,                 3.0708,                 3.7781,                   2.31,              0.0015399,              0.0015399,              0.0015399
                     79,                 1.1261,                 1.2688,                 1.4661,                0.46768,                0.33333,                0.35717,                0.17372,                 2.9967,                 3.7554,                 2.2135,              0.0015383,              0.0015383,              0.0015383
                     80,                 1.0507,                 1.2666,                 1.3708,                    0.5,                0.33035,                0.36117,                 0.1587,                 3.2962,                 3.3063,                 2.4003,              0.0015366,              0.0015366,              0.0015366
                     81,                 1.1208,                 1.2557,                  1.454,                    0.5,                0.33035,                0.36117,                 0.1587,                 3.2962,                 3.3063,                 2.4003,               0.001535,               0.001535,               0.001535
                     82,                 1.1525,                 1.3123,                 1.4984,                0.93791,                0.16667,                0.20446,                0.12479,                 3.5686,                 3.5645,                 2.5778,              0.0015333,              0.0015333,              0.0015333
                     83,                 1.0035,                 1.1531,                 1.4404,                0.67408,                0.16667,                0.17548,                 0.0857,                 3.4321,                 4.0324,                 2.5381,              0.0015317,              0.0015317,              0.0015317
                     84,                 1.1437,                 1.3244,                 1.5131,                0.69848,                0.33333,                 0.1712,                0.04817,                 3.3374,                 3.6578,                 2.7124,                0.00153,                0.00153,                0.00153
                     85,                0.97581,                 1.1694,                 1.4315,                0.69848,                0.33333,                 0.1712,                0.04817,                 3.3374,                 3.6578,                 2.7124,              0.0015284,              0.0015284,              0.0015284
                     86,                 0.9757,                 1.1302,                 1.4028,                0.06208,                0.33333,                0.05927,                0.01512,                 3.2282,                 4.5171,                 2.8278,              0.0015267,              0.0015267,              0.0015267
                     87,                0.93158,                 1.0986,                 1.4081,                0.05301,                0.33333,                 0.0373,                0.01104,                 3.3902,                 4.3457,                 2.9244,              0.0015251,              0.0015251,              0.0015251
                     88,                0.97236,                 1.1069,                 1.4272,                0.70879,                0.16667,                0.18104,                0.05448,                  3.645,                 4.4268,                 3.6685,              0.0015234,              0.0015234,              0.0015234
                     89,                0.96132,                 1.0903,                 1.4288,                0.70879,                0.16667,                0.18104,                0.05448,                  3.645,                 4.4268,                 3.6685,              0.0015218,              0.0015218,              0.0015218
                     90,                0.92658,                 1.0675,                 1.4189,                0.91801,                0.16667,                0.18104,                0.05431,                 3.7428,                 6.6526,                 3.7627,              0.0015201,              0.0015201,              0.0015201
                     91,                 1.0095,                 1.1669,                 1.4076,                 0.7327,                0.16667,                0.14287,                0.03624,                 3.6558,                 5.5231,                 3.6544,              0.0015185,              0.0015185,              0.0015185
                     92,                0.94592,                 1.1099,                 1.4268,                0.96286,                0.16667,                0.17064,                0.03385,                 3.4206,                  4.205,                 3.4425,              0.0015168,              0.0015168,              0.0015168
                     93,                0.93887,                 1.0943,                  1.354,                0.96286,                0.16667,                0.17064,                0.03385,                 3.4206,                  4.205,                 3.4425,              0.0015152,              0.0015152,              0.0015152
                     94,                 1.0765,                 1.2066,                 1.3765,                0.95952,                0.16667,                0.16966,                0.03377,                   3.69,                 4.1978,                 3.9142,              0.0015135,              0.0015135,              0.0015135
                     95,                0.79917,                 1.0427,                 1.3569,                0.96104,                0.16667,                0.16805,                0.03361,                 4.0454,                 3.5915,                 3.7308,              0.0015119,              0.0015119,              0.0015119
                     96,                0.94915,                 1.1029,                 1.4142,                0.98274,                0.16667,                0.17647,                0.05294,                 3.7711,                 3.2369,                 3.4612,              0.0015102,              0.0015102,              0.0015102
                     97,                0.97907,                 1.0818,                 1.4093,                0.98274,                0.16667,                0.17647,                0.05294,                 3.7711,                 3.2369,                 3.4612,              0.0015086,              0.0015086,              0.0015086
